label,text
ham,İhtiyaç Bursu bursu başvuruları 3/12/2024 tarihinde başlayacaktır.
ham,"Sayın Sayın öğrencilerimiz, 07/03/2024 tarihli oryantasyon hakkında bilgilendirme."
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
ham,"Sayın Değerli öğrenciler, 4/10/2024 tarihli mezuniyet töreni hakkında bilgilendirme."
spam,Sınavsız Diploma fırsatı! Hemen başvurun!
spam,BAUN öğrencilerine özel %90 indirim fırsatı!
ham,12/8/2024 tarihli Senato toplantısı A Blok yapılacaktır.
ham,"Sevgili öğrenciler, Algoritma dersi ödevini teslim aldım, teşekkürler."
spam,BAUN öğrencilerine özel Bilgisayar kampanyası! %20 indirim!
ham,Eğitim bölümü teknik gezi tarihi 6/24/2024 olarak güncellenmiştir.
ham,BAUN Makine Mühendisliği semineri 10/8/2024 tarihinde Kongre Merkezi gerçekleşecektir.
ham,İİBF Fakültesi 6/17/2024 tarihli ders programı güncellenmiştir.
ham,"Değerli öğrencilerimiz, Çağış Kampüsü workshop ertelenmiştir."
spam,DİKKAT! 5000 TL ödülünüzü almak için tıklayın!
ham,"Değerli öğrencilerimiz, Kongre Merkezi konferans ertelenmiştir."
ham,Spor Bursu bursu başvuruları 10/1/2024 tarihinde başlayacaktır.
ham,Sanat Bursu bursu başvuruları 5/22/2024 tarihinde başlayacaktır.
spam,DİKKAT! 3000 TL ödülünüzü almak için tıklayın!
spam,BAUN öğrencilerine özel %90 indirim fırsatı!
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,"Sayın öğrencilerimiz, Fizik dersi ödevini teslim aldım, teşekkürler."
ham,"Değerli öğrencilerimiz, C Blok oryantasyon ertelenmiştir."
spam,BAUN öğrencilerine özel Bilgisayar kampanyası! %50 indirim!
spam,Günde 1000 TL kazanç! Öğrenciler için part-time iş!
ham,"Öğrencilerimiz, Matematik dersi ödevini teslim aldım, teşekkürler."
spam,DİKKAT! 1000 TL ödülünüzü almak için tıklayın!
spam,BAUN öğrencilerine özel Telefon kampanyası! %30 indirim!
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
spam,"Tebrikler! Laptop kazandınız, hemen tıklayın!"
ham,4/14/2024 tarihli Bütünleme sınavı A Blok yapılacaktır.
spam,Günde 3000 TL kazanç! Öğrenciler için part-time iş!
ham,İhtiyaç Bursu bursu başvuruları 5/12/2024 tarihinde başlayacaktır.
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
ham,Eğitim bölümü teknik gezi tarihi 2/16/2024 olarak güncellenmiştir.
ham,"Değerli öğrencilerimiz, Merkez Kampüs seminer ertelenmiştir."
spam,ACIL! Burs Belgesi için son 24 saat!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
ham,"Sayın öğrencilerimiz, Kimya dersi ödevini teslim aldım, teşekkürler."
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
ham,7/10/2024 tarihli Öğrenci Temsilciliği toplantısı Merkez Kampüs yapılacaktır.
spam,"Tebrikler! Akıllı Telefon kazandınız, hemen tıklayın!"
spam,BAUN öğrencilerine özel %40 indirim fırsatı!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,ACIL! Burs Belgesi için son 48 saat!
ham,BAUN Makine Mühendisliği semineri 8/19/2024 tarihinde B Blok gerçekleşecektir.
ham,Mimarlık Fakültesi 4/18/2024 tarihli ders programı güncellenmiştir.
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %90 indirim!
spam,BAUN öğrencilerine özel Tablet kampanyası! %10 indirim!
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
ham,"Öğrencilerimiz, Matematik dersi ödevini teslim aldım, teşekkürler."
spam,Günde 3000 TL kazanç! Öğrenciler için part-time iş!
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
ham,BAUN İşletme semineri 3/22/2024 tarihinde B Blok gerçekleşecektir.
spam,BAUN öğrencilerine özel %30 indirim fırsatı!
ham,BAUN Matematik semineri 11/16/2024 tarihinde Kongre Merkezi gerçekleşecektir.
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
ham,Tıp bölümü workshop tarihi 01/01/2024 olarak güncellenmiştir.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,DİKKAT! 1000 TL ödülünüzü almak için tıklayın!
spam,DİKKAT! 2000 TL ödülünüzü almak için tıklayın!
spam,ACIL! Öğrenci Belgesi için son 48 saat!
ham,"Değerli öğrencilerimiz, Çağış Kampüsü workshop ertelenmiştir."
ham,Fen-Edebiyat bölümü workshop tarihi 04/08/2024 olarak güncellenmiştir.
spam,BAUN öğrencilerine özel Telefon kampanyası! %40 indirim!
ham,"Değerli öğrencilerimiz, Kongre Merkezi workshop ertelenmiştir."
spam,Günde 3000 TL kazanç! Öğrenciler için part-time iş!
spam,ÖNEMLİ: Öğrenci hesabınız aktivasyon gerekiyor!
spam,BAUN öğrencilerine özel %50 indirim fırsatı!
ham,2/12/2024 tarihli Senato toplantısı A Blok yapılacaktır.
spam,ÖNEMLİ: Kütüphane hesabınız aktivasyon gerekiyor!
ham,"Değerli öğrencilerimiz, Kongre Merkezi teknik gezi ertelenmiştir."
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
ham,5/26/2024 tarihli Quiz sınavı Merkez Kampüs yapılacaktır.
ham,BAUN İşletme semineri 12/28/2024 tarihinde Kongre Merkezi gerçekleşecektir.
ham,11/26/2024 tarihli Yönetim Kurulu toplantısı Merkez Kampüs yapılacaktır.
ham,2/26/2024 tarihli Vize sınavı A Blok yapılacaktır.
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %90 indirim!
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
ham,4/27/2024 tarihli Vize sınavı Çağış Kampüsü yapılacaktır.
spam,DİKKAT! 3000 TL ödülünüzü almak için tıklayın!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,DİKKAT! 9000 TL ödülünüzü almak için tıklayın!
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
ham,"Sayın Sevgili öğrenciler, 12/7/2024 tarihli oryantasyon hakkında bilgilendirme."
ham,BAUN Matematik semineri 7/22/2024 tarihinde A Blok gerçekleşecektir.
ham,İhtiyaç Bursu bursu başvuruları 6/18/2024 tarihinde başlayacaktır.
ham,İİBF bölümü mezuniyet töreni tarihi 09/01/2024 olarak güncellenmiştir.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,"Tebrikler! Burs kazandınız, hemen tıklayın!"
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
ham,TÜBİTAK Bursu bursu başvuruları 12/24/2024 tarihinde başlayacaktır.
ham,Tıp bölümü workshop tarihi 11/1/2024 olarak güncellenmiştir.
ham,BAUN Matematik semineri 6/23/2024 tarihinde Kongre Merkezi gerçekleşecektir.
ham,9/24/2024 tarihli Quiz sınavı Çağış Kampüsü yapılacaktır.
spam,BAUN öğrencilerine özel Tablet kampanyası! %80 indirim!
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
spam,ÖNEMLİ: Öğrenci hesabınız yenileme gerekiyor!
spam,BAUN öğrencilerine özel %80 indirim fırsatı!
ham,BAUN Elektrik-Elektronik semineri 8/17/2024 tarihinde Çağış Kampüsü gerçekleşecektir.
ham,Başarı Bursu bursu başvuruları 2/23/2024 tarihinde başlayacaktır.
spam,ÖNEMLİ: E-posta hesabınız doğrulama gerekiyor!
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
ham,"Sayın öğrencilerimiz, Fizik dersi ödevini teslim aldım, teşekkürler."
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,"Tebrikler! Burs kazandınız, hemen tıklayın!"
ham,"Değerli öğrenciler, Fizik dersi ödevini teslim aldım, teşekkürler."
ham,Öğrenci kulübü workshop etkinliği 9/15/2024 tarihinde A Blok gerçekleşecektir.
ham,"Sayın Değerli öğrenciler, 11/14/2024 tarihli konferans hakkında bilgilendirme."
ham,Öğrenci kulübü oryantasyon etkinliği 11/3/2024 tarihinde B Blok gerçekleşecektir.
ham,12/26/2024 tarihli Öğrenci Temsilciliği toplantısı A Blok yapılacaktır.
spam,ACIL! Burs Belgesi için son 48 saat!
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
ham,Öğrenci kulübü workshop etkinliği 5/24/2024 tarihinde C Blok gerçekleşecektir.
ham,Eğitim Fakültesi 04/07/2024 tarihli ders programı güncellenmiştir.
ham,"Değerli öğrencilerimiz, C Blok seminer ertelenmiştir."
spam,BAUN öğrencilerine özel Telefon kampanyası! %10 indirim!
ham,08/07/2024 tarihli Yönetim Kurulu toplantısı C Blok yapılacaktır.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
ham,"Sayın Sayın öğrencilerimiz, 07/07/2024 tarihli konferans hakkında bilgilendirme."
ham,10/18/2024 tarihli Bütünleme sınavı Çağış Kampüsü yapılacaktır.
spam,ACIL! Kimlik için son 48 saat!
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %20 indirim!
ham,3/20/2024 tarihli Ödev Sunumu sınavı C Blok yapılacaktır.
spam,"Tebrikler! Laptop kazandınız, hemen tıklayın!"
ham,İİBF Fakültesi 05/06/2024 tarihli ders programı güncellenmiştir.
spam,DİKKAT! 2000 TL ödülünüzü almak için tıklayın!
spam,DİKKAT! 3000 TL ödülünüzü almak için tıklayın!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
ham,"Sayın Öğrencilerimiz, 03/08/2024 tarihli konferans hakkında bilgilendirme."
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
ham,05/03/2024 tarihli Bölüm Kurulu toplantısı B Blok yapılacaktır.
spam,BAUN öğrencilerine özel Tablet kampanyası! %30 indirim!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,12/10/2024 tarihli Vize sınavı C Blok yapılacaktır.
ham,BAUN Makine Mühendisliği semineri 7/17/2024 tarihinde Merkez Kampüs gerçekleşecektir.
ham,"Sayın Sevgili öğrenciler, 12/1/2024 tarihli oryantasyon hakkında bilgilendirme."
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,"Değerli öğrencilerimiz, Merkez Kampüs konferans ertelenmiştir."
spam,DİKKAT! 6000 TL ödülünüzü almak için tıklayın!
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
ham,İİBF Fakültesi 6/22/2024 tarihli ders programı güncellenmiştir.
ham,Öğrenci kulübü mezuniyet töreni etkinliği 3/24/2024 tarihinde C Blok gerçekleşecektir.
spam,BAUN öğrencilerine özel %40 indirim fırsatı!
ham,"Değerli öğrencilerimiz, C Blok seminer ertelenmiştir."
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
ham,BAUN Matematik semineri 8/27/2024 tarihinde B Blok gerçekleşecektir.
spam,"Tebrikler! Laptop kazandınız, hemen tıklayın!"
ham,"Değerli öğrencilerimiz, Merkez Kampüs teknik gezi ertelenmiştir."
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,Başarı Bursu bursu başvuruları 8/11/2024 tarihinde başlayacaktır.
ham,3/21/2024 tarihli Bütünleme sınavı B Blok yapılacaktır.
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %90 indirim!
ham,05/05/2024 tarihli Vize sınavı C Blok yapılacaktır.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,"Değerli öğrencilerimiz, Merkez Kampüs teknik gezi ertelenmiştir."
ham,Öğrenci kulübü mezuniyet töreni etkinliği 7/19/2024 tarihinde Çağış Kampüsü gerçekleşecektir.
ham,Sanat Bursu bursu başvuruları 07/04/2024 tarihinde başlayacaktır.
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
spam,ÖNEMLİ: Kütüphane hesabınız aktivasyon gerekiyor!
spam,Günde 8000 TL kazanç! Öğrenciler için part-time iş!
spam,DİKKAT! 2000 TL ödülünüzü almak için tıklayın!
ham,"Değerli öğrenciler, Matematik dersi ödevini teslim aldım, teşekkürler."
spam,Günde 6000 TL kazanç! Öğrenciler için part-time iş!
spam,Günde 4000 TL kazanç! Öğrenciler için part-time iş!
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
spam,ÖNEMLİ: E-posta hesabınız yenileme gerekiyor!
ham,3/23/2024 tarihli Senato toplantısı C Blok yapılacaktır.
ham,"Sayın Öğrencilerimiz, 8/27/2024 tarihli teknik gezi hakkında bilgilendirme."
ham,Fen-Edebiyat Fakültesi 9/19/2024 tarihli ders programı güncellenmiştir.
spam,Günde 7000 TL kazanç! Öğrenciler için part-time iş!
spam,"Tebrikler! Hediye Çeki kazandınız, hemen tıklayın!"
spam,Yurt hizmetinde büyük indirim! Kaçırmayın!
ham,12/20/2024 tarihli Yönetim Kurulu toplantısı C Blok yapılacaktır.
ham,"Değerli öğrencilerimiz, Kongre Merkezi workshop ertelenmiştir."
ham,BAUN Elektrik-Elektronik semineri 3/12/2024 tarihinde Merkez Kampüs gerçekleşecektir.
spam,"Tebrikler! Burs kazandınız, hemen tıklayın!"
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,DİKKAT! 4000 TL ödülünüzü almak için tıklayın!
ham,11/19/2024 tarihli Yönetim Kurulu toplantısı C Blok yapılacaktır.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,5/16/2024 tarihli Vize sınavı Çağış Kampüsü yapılacaktır.
ham,Tıp bölümü teknik gezi tarihi 5/27/2024 olarak güncellenmiştir.
ham,Spor Bursu bursu başvuruları 11/22/2024 tarihinde başlayacaktır.
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
spam,ACIL! Diploma için son 72 saat!
ham,"Değerli öğrencilerimiz, B Blok workshop ertelenmiştir."
ham,İİBF bölümü workshop tarihi 6/17/2024 olarak güncellenmiştir.
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,DİKKAT! 1000 TL ödülünüzü almak için tıklayın!
spam,DİKKAT! 7000 TL ödülünüzü almak için tıklayın!
ham,12/25/2024 tarihli Senato toplantısı Merkez Kampüs yapılacaktır.
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %70 indirim!
spam,BAUN öğrencilerine özel %10 indirim fırsatı!
spam,"Tebrikler! Tablet kazandınız, hemen tıklayın!"
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,"Sayın Değerli öğrenciler, 11/17/2024 tarihli teknik gezi hakkında bilgilendirme."
ham,BAUN İşletme semineri 04/04/2024 tarihinde A Blok gerçekleşecektir.
spam,ÖNEMLİ: E-posta hesabınız doğrulama gerekiyor!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
ham,11/10/2024 tarihli Bütünleme sınavı Merkez Kampüs yapılacaktır.
ham,İhtiyaç Bursu bursu başvuruları 2/12/2024 tarihinde başlayacaktır.
ham,6/15/2024 tarihli Vize sınavı Çağış Kampüsü yapılacaktır.
ham,BAUN İşletme semineri 5/12/2024 tarihinde Çağış Kampüsü gerçekleşecektir.
ham,Öğrenci kulübü teknik gezi etkinliği 1/25/2024 tarihinde C Blok gerçekleşecektir.
ham,Öğrenci kulübü mezuniyet töreni etkinliği 2/24/2024 tarihinde Kongre Merkezi gerçekleşecektir.
ham,Öğrenci kulübü konferans etkinliği 12/17/2024 tarihinde C Blok gerçekleşecektir.
ham,"Sayın öğrencilerimiz, Veri Yapıları dersi ödevini teslim aldım, teşekkürler."
ham,Spor Bursu bursu başvuruları 11/28/2024 tarihinde başlayacaktır.
spam,ÖNEMLİ: OBS hesabınız yenileme gerekiyor!
spam,ÖNEMLİ: Öğrenci hesabınız güncelleme gerekiyor!
ham,06/04/2024 tarihli Bütünleme sınavı A Blok yapılacaktır.
spam,Sınavsız Doktora fırsatı! Hemen başvurun!
ham,Tıp Fakültesi 04/03/2024 tarihli ders programı güncellenmiştir.
ham,Sanat Bursu bursu başvuruları 11/23/2024 tarihinde başlayacaktır.
ham,Sanat Bursu bursu başvuruları 01/08/2024 tarihinde başlayacaktır.
ham,"Değerli öğrenciler, Programlama dersi ödevini teslim aldım, teşekkürler."
ham,"Değerli öğrenciler, Algoritma dersi ödevini teslim aldım, teşekkürler."
spam,BAUN öğrencilerine özel Bilgisayar kampanyası! %10 indirim!
ham,"Değerli öğrencilerimiz, Çağış Kampüsü oryantasyon ertelenmiştir."
spam,ÖNEMLİ: Öğrenci hesabınız güncelleme gerekiyor!
spam,BAUN öğrencilerine özel %50 indirim fırsatı!
spam,BAUN öğrencilerine özel %60 indirim fırsatı!
ham,Sanat Bursu bursu başvuruları 5/19/2024 tarihinde başlayacaktır.
ham,Öğrenci kulübü seminer etkinliği 9/13/2024 tarihinde A Blok gerçekleşecektir.
ham,BAUN Elektrik-Elektronik semineri 9/22/2024 tarihinde C Blok gerçekleşecektir.
spam,"Tebrikler! Akıllı Telefon kazandınız, hemen tıklayın!"
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
ham,Fen-Edebiyat bölümü seminer tarihi 02/08/2024 olarak güncellenmiştir.
ham,Öğrenci kulübü workshop etkinliği 6/11/2024 tarihinde C Blok gerçekleşecektir.
spam,DİKKAT! 6000 TL ödülünüzü almak için tıklayın!
spam,"Tebrikler! Laptop kazandınız, hemen tıklayın!"
ham,Mühendislik Fakültesi 3/16/2024 tarihli ders programı güncellenmiştir.
ham,Fen-Edebiyat Fakültesi 6/16/2024 tarihli ders programı güncellenmiştir.
spam,ACIL! Diploma için son 24 saat!
ham,Mühendislik bölümü konferans tarihi 02/01/2024 olarak güncellenmiştir.
ham,Tıp bölümü workshop tarihi 10/7/2024 olarak güncellenmiştir.
ham,Eğitim bölümü konferans tarihi 12/12/2024 olarak güncellenmiştir.
spam,DİKKAT! 6000 TL ödülünüzü almak için tıklayın!
spam,"Tebrikler! Laptop kazandınız, hemen tıklayın!"
ham,Fen-Edebiyat bölümü oryantasyon tarihi 02/01/2024 olarak güncellenmiştir.
ham,Eğitim Fakültesi 06/06/2024 tarihli ders programı güncellenmiştir.
ham,Mühendislik Fakültesi 6/25/2024 tarihli ders programı güncellenmiştir.
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
spam,Öğrenci kredisi borcunuz siliniyor! Hemen başvurun!
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
ham,"Sayın Sevgili öğrenciler, 1/27/2024 tarihli oryantasyon hakkında bilgilendirme."
ham,5/24/2024 tarihli Bölüm Kurulu toplantısı C Blok yapılacaktır.
spam,BAUN öğrencilerine özel Tablet kampanyası! %30 indirim!
spam,"Tebrikler! Burs kazandınız, hemen tıklayın!"
spam,BAUN öğrencilerine özel Bilgisayar kampanyası! %30 indirim!
spam,ACIL! Transkript için son 48 saat!
spam,BAUN öğrencilerine özel %70 indirim fırsatı!
spam,"Tebrikler! Tablet kazandınız, hemen tıklayın!"
ham,"Sayın Sayın öğrencilerimiz, 12/18/2024 tarihli mezuniyet töreni hakkında bilgilendirme."
ham,TÜBİTAK Bursu bursu başvuruları 8/14/2024 tarihinde başlayacaktır.
ham,1/15/2024 tarihli Ödev Sunumu sınavı A Blok yapılacaktır.
ham,TÜBİTAK Bursu bursu başvuruları 03/03/2024 tarihinde başlayacaktır.
spam,Günde 5000 TL kazanç! Öğrenciler için part-time iş!
ham,10/24/2024 tarihli Bütünleme sınavı A Blok yapılacaktır.
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
ham,İİBF Fakültesi 10/22/2024 tarihli ders programı güncellenmiştir.
spam,ACIL! Transkript için son 48 saat!
spam,DİKKAT! 1000 TL ödülünüzü almak için tıklayın!
spam,ACIL! Transkript için son 72 saat!
spam,Yemek hizmetinde büyük indirim! Kaçırmayın!
spam,ÖNEMLİ: OBS hesabınız aktivasyon gerekiyor!
ham,Öğrenci kulübü teknik gezi etkinliği 4/20/2024 tarihinde Kongre Merkezi gerçekleşecektir.
spam,BAUN öğrencilerine özel Tablet kampanyası! %90 indirim!
ham,"Değerli öğrencilerimiz, Merkez Kampüs oryantasyon ertelenmiştir."
spam,ACIL! Öğrenci Belgesi için son 24 saat!
spam,Sınavsız Sertifika fırsatı! Hemen başvurun!
spam,BAUN öğrencilerine özel Yazıcı kampanyası! %50 indirim!
spam,BAUN öğrencilerine özel %40 indirim fırsatı!
spam,DİKKAT! 9000 TL ödülünüzü almak için tıklayın!
spam,DİKKAT! 9000 TL ödülünüzü almak için tıklayın!
ham,Başarı Bursu bursu başvuruları 2/23/2024 tarihinde başlayacaktır.
ham,Öğrenci kulübü workshop etkinliği 7/28/2024 tarihinde A Blok gerçekleşecektir.
spam,ÖNEMLİ: Öğrenci hesabınız güncelleme gerekiyor!
spam,ACIL! Öğrenci Belgesi için son 72 saat!
spam,Günde 5000 TL kazanç! Öğrenciler için part-time iş!
spam,BAUN öğrencilerine özel %40 indirim fırsatı!
spam,ÖNEMLİ: OBS hesabınız doğrulama gerekiyor!
spam,Kırtasiye hizmetinde büyük indirim! Kaçırmayın!
spam,Sınavsız Yüksek Lisans fırsatı! Hemen başvurun!
spam,Ulaşım hizmetinde büyük indirim! Kaçırmayın!
ham,Eğitim bölümü konferans tarihi 1/23/2024 olarak güncellenmiştir.
ham,Başarı Bursu bursu başvuruları 5/18/2024 tarihinde başlayacaktır.
ham,"Sayın Değerli öğrenciler, 2/16/2024 tarihli mezuniyet töreni hakkında bilgilendirme."
